Participant,Session,Condition,Accuracy (%),Precision (%),False Positives,Avg RT (s)
A,1,control,100.0,86.67,0,0.47
A,1,distraction,91.67,82.14,1,0.5
A,2,control,100.0,100.0,0,0.49
A,2,distraction,93.33,77.46,1,0.52
A,3,control,100.0,91.67,0,0.47
A,3,distraction,100.0,75.56,1,0.5
B,1,control,100.0,91.67,0,0.44
B,1,distraction,100.0,70.28,2,0.47
B,2,control,100.0,86.67,0,0.43
B,2,distraction,100.0,68.52,1,0.49
B,3,control,100.0,85.71,1,0.43
B,3,distraction,100.0,66.67,1,0.52
C,1,control,80.56,75.0,1,0.48
C,1,distraction,100.0,71.9,1,0.53
C,2,control,88.89,72.22,0,0.42
C,2,distraction,91.67,71.76,2,0.48
C,3,control,91.67,75.0,0,0.49
C,3,distraction,75.24,67.46,1,0.36
