Date,Trial,Sequence Length,Memory Score,Response Time
2026-05-02,1,4,100.0,4.057
2026-05-02,2,5,100.0,3.865
2026-05-02,3,6,100.0,6.012
2026-05-02,4,6,100.0,4.45
2026-05-02,5,5,100.0,4.939
2026-05-03,1,5,100.0,3.953
2026-05-03,2,6,100.0,5.841
2026-05-03,3,4,100.0,4.152
2026-05-03,4,7,85.71,6.245
2026-05-03,5,7,71.43,8.049
2026-05-04,1,6,100.0,4.592
2026-05-04,2,6,100.0,4.669
2026-05-04,3,6,100.0,4.606
2026-05-04,4,6,100.0,4.84
2026-05-04,5,5,100.0,3.245
2026-05-05,1,5,100.0,4.672
2026-05-05,2,7,100.0,4.934
2026-05-05,3,7,85.71,5.207
2026-05-05,4,7,85.71,8.477
2026-05-05,5,5,80.0,3.487
2026-05-06,1,6,100.0,5.294
2026-05-06,2,6,83.33,5.343
2026-05-06,3,4,100.0,3.88
2026-05-06,4,7,42.86,5.508
2026-05-06,5,4,100.0,2.711
2026-05-07,1,5,100.0,5.878
2026-05-07,2,4,100.0,3.692
2026-05-07,3,4,100.0,4.317
2026-05-07,4,7,100.0,4.862
2026-05-07,5,4,100.0,3.179
2026-05-08,1,5,100.0,9.159
2026-05-08,2,5,100.0,6.161
2026-05-08,3,7,71.43,8.444
2026-05-08,4,4,100.0,4.294
2026-05-08,5,5,40.0,5.051
2026-05-09,1,5,100.0,6.186
2026-05-09,2,7,85.71,11.703
2026-05-09,3,7,57.14,6.512
2026-05-09,4,4,100.0,4.691
2026-05-09,5,5,100.0,4.007
2026-05-10,1,7,100.0,5.738
2026-05-10,2,5,100.0,3.978
2026-05-10,3,6,100.0,3.451
2026-05-10,4,6,100.0,4.305
2026-05-10,5,4,100.0,5.124
2026-05-11,1,5,100.0,4.25
2026-05-11,2,6,100.0,5.432
2026-05-11,3,7,28.57,6.723
2026-05-11,4,7,71.43,7.099
2026-05-11,5,5,100.0,3.789
